content_groups,title,watchers_prev_mtd,watchers_this_mtd,plays_prev_mtd,plays_this_mtd,duration_prev_mtd,duration_this_mtd,rn1,rn2
Films,"Jangan Diskip, Menantu Idaman Mau Lewat",0,4621,0,7967,0,186258.45,40,6551
Films,Kudapan Spesial ,0,4360,0,4565,0,19056,43,6552
Films,Labrak Mantan Auto Manten,0,3931,0,6192,0,138794.56666666668,48,6553
Films,Signal,0,3901,0,14969,0,275924.96666666667,49,6554
Films,Tunnel,0,3840,0,15162,0,406974.76666666666,51,6555
Films,Wonderful Ghost,0,3748,0,4275,0,4436.55,54,6556
Films,Mr. Hashtag,0,3543,0,5570,0,13666.5,58,6557
Films,China’s Battle Against COVID 19,0,3236,0,3879,0,13709.483333333334,64,6558
Films,Unbaedah,0,3083,0,3610,0,14862.75,66,6559
Films,ASA,0,2772,0,3125,0,27555.633333333335,73,6560
Films,The Sound of Flower,0,2710,0,3131,0,2818,74,6561
Films,Rendang of Death,0,2340,0,2581,0,6411.1333333333332,86,6562
Films,Ordinary Life of Miss O,0,2094,0,4413,0,7728.083333333333,96,6563
Films,"Sesuatu, Aku Merias Calon Istri Mantanku",0,2060,0,2968,0,63275.5,99,6564
Original Series,Turn On,215410,408098,708643,1519714,7276534.1833333336,23895671.316666666,1,1
Original Series,Brutal,149475,149408,348872,421055,3923955.1333333333,5711957.8,2,2
Original Series,SERIGALA TERAKHIR,59472,60046,177788,174321,1772023.85,2422010.55,7,3
Original Series,I HEAR(T) YOU,51242,44043,141179,114904,724671.55,832828.75,8,4
Original Series,I Love You Baby,43632,90720,223403,458952,3850256.95,7622219.45,4,5
Original Series,Perfect Love,38060,60600,96003,182024,753130.43333333335,2246955.6166666667,6,6
Original Series,World of Dr. Boyke,33057,19404,95925,38185,219840.18333333332,254547.95,11,7
Original Series,Scandal,23361,91057,35770,201987,22155.583333333332,2479365,3,8
Original Series,Loncat Kelas,23079,20372,57159,64764,402125.73333333334,490408.78333333333,10,9
Original Series,GET MARRIED,20625,15717,44325,38944,643084.91666666663,609286.7,14,10
Original Series,Omen,19289,17450,50326,56363,727782.48333333328,888157.25,12,11
